DL;V
0.5;0.027682183
0.5;0.187330748
0.5;0.207517209
0.5;0.104953529
0.5;0.17351854
0.5;0.18839923
0.5;0.143123186
0.5;0.255286644
0.5;0.18328079
0.5;0.208078167
0.5;0.146621362
0.5;0.053787954
0.5;0.068107333
0.5;0.236807521
0.5;0.293619415
0.5;0.153155286
1;0.067431315
1;0.066289241
1;0.141748438
1;0.087504652
1;0.089774466
1;0.047306691
1;0.024838047
1;0.289602077
1;0.051962178
1;0.029635036
0.5;0.049377236
0.5;0.181779816
1;0.226374815
1;0.189271415
1;0.091176454
0.5;0.06330749
0.5;0.139680943
0.5;0.174387138
0.5;0.177914649
0.5;0.165043164
0.5;0.084457294
0.5;0.187021131
0.5;0.203452616
0.5;0.144522909
0.5;0.222697293
0.5;0.20186818
0.5;0.201610648
1;0.09918368
1;0.090814516
1;0.062685337
1;0.156355967
1;0.094176374
1;0.082387796
1;0.164992323
1;0.142403617
1;0.110641016
1;0.051704607
0.5;0.04951527
0.5;0.256326432
0.5;0.045513274
0.5;0.229991639
0.5;0.206152999
0.5;0.073804494
0.5;0.256236989
0.5;0.110692813
0.5;0.203047744
0.5;0.186742393
1;0.062420016
1;0.071731239
1;0.136060585
1;0.173006879
1;0.177018732
1;0.274079193
1;0.030976444
0;0.19048801
0;0.176663418
0;0.184466872
0;0.180246614
0;0.1839408
0;0.229171291
0;0.248150948
0;0.211223673
0;0.201629419
0;0.201407426
0;0.135207668
0;0.180871804
0;0.150250439
0;0.273373133
0;0.256449426
0;0.241854149
0;0.245552929
0;0.250759975
0;0.119677375
0;0.227361616
0;0.16172809
0;0.144937207
0;0.17448475
0;0.205866799
0;0.213536919
0;0.163625743
0;0.195884664
0;0.210529826
0.25;0.173493473
0.25;0.130101821
0.25;0.203375372
0.25;0.113012225
0.25;0.257502618
0.25;0.168740321
0.25;0.224590875
0.25;0.104303664
0.25;0.34120144
0.25;0.215280045
0.25;0.219331299
0.25;0.14230429
0.25;0.20908883
0.25;0.222638663
0.25;0.148342314
0.25;0.184105026
0.25;0.238029928
0.25;0.143757316
0.25;0.126989615
0.25;0.188617374
0.25;0.192354063
0.25;0.236521872
0.25;0.26446677
0.25;0.288328593
0.25;0.148531987
0.25;0.168777981
0.25;0.226043574
0.25;0.221298918
0.25;0.203861167
0.25;0.185318951
0.25;0.247546532
0.25;0.248846497
0.25;0.156067883
0.25;0.179626464
0.25;0.169465571
0.25;0.278282487
0.25;0.239914477
0.25;0.310687099
0.25;0.317087871
0.75;0.084062069
0.75;0.150065857
0.75;0.101720882
0.75;0.083662183
0.75;0.079602107
0.75;0.095596505
0.75;0.007753778
0.75;0.077785062
0.75;0.163164858
0.75;0.170807908
0.75;0.136804108
0.75;0.215423681
0.75;0.210330819
0.75;0.172278291
0.75;0.035112835
0.75;0.261098996
0.75;0.117716328
0.75;0.140552185
0.75;0.139534466
0.75;0.061656492
0.75;0.186900416
0.75;0.120095927
0.75;0.126266826
0.75;0.163562335
0.75;0.118403944
0.75;0.202192432
0.75;0.040332866
0.75;0.107384585
0.75;0.110087533
0.75;0.082884168
0.75;0.017418547
0.75;0.152841074
0.75;0.073779963
0.75;0.250441496
0.75;0.185806002
0.75;0.188976773
